Influence Scores (sorted by magnitude):
case_5432: +0.134 (label=1, pred=1)
case_9876: +0.127 (label=1, pred=1)
case_3219: +0.095 (label=1, pred=1)
case_7654: -0.084 (label=0, pred=0)
case_1987: +0.078 (label=1, pred=1)
case_4681: -0.072 (label=1, pred=0)
case_8529: +0.069 (label=1, pred=1)
case_2756: -0.061 (label=0, pred=1)
case_6143: +0.056 (label=1, pred=1)
case_9304: +0.052 (label=1, pred=1)
case_1675: -0.049 (label=0, pred=0)
case_8210: +0.047 (label=1, pred=1)
case_3942: +0.044 (label=0, pred=1)
case_7085: -0.043 (label=1, pred=0)
case_5768: +0.039 (label=1, pred=1)
case_2481: +0.037 (label=1, pred=1)
case_6927: -0.036 (label=0, pred=0)
case_4153: +0.034 (label=1, pred=1)
case_8796: +0.032 (label=1, pred=1)
case_1529: -0.031 (label=0, pred=0)
case_9647: +0.030 (label=1, pred=1)
case_3814: +0.028 (label=1, pred=1)
case_7230: -0.027 (label=1, pred=0)
case_5096: +0.026 (label=1, pred=1)
case_2673: +0.025 (label=0, pred=1)
case_8417: -0.024 (label=0, pred=0)
case_4759: +0.023 (label=1, pred=1)
case_6382: +0.022 (label=1, pred=1)
case_1908: -0.021 (label=0, pred=0)
case_9541: +0.020 (label=1, pred=1)
