case_id,influence_score,ground_truth
000287,29.746051788330078,0
000209,29.67078399658203,0
000628,29.64862632751465,0
000568,28.48733139038086,0
000354,28.432884216308594,0
000476,28.40846824645996,0
000051,28.219539642333984,0
000332,28.134994506835938,0
000329,28.107288360595703,0
000093,27.97268295288086,0
000650,27.758699417114258,0
000115,27.72216796875,0
000643,27.683345794677734,0
000136,27.571880340576172,0
000414,27.56048583984375,0
000062,27.536334991455078,0
000047,27.388160705566406,0
000087,27.348915100097656,0
000094,27.248760223388672,0
000260,27.215232849121094,0
000249,27.107254028320312,0
000175,26.905921936035156,0
000573,26.825496673583984,0
000202,26.677616119384766,0
000638,26.669523239135742,0
000479,26.60569953918457,0
000561,26.582111358642578,0
000614,26.498207092285156,0
000190,26.4593448638916,0
000317,26.42908477783203,0
000161,26.398845672607422,0
000377,26.358413696289062,0
000132,26.326993942260742,0
000092,26.25530242919922,0
000128,26.167734146118164,0
000167,26.12468910217285,0
000188,26.035541534423828,0
000130,26.026016235351562,0
000404,26.025558471679688,0
000049,26.019569396972656,0
000652,26.013385772705078,0
000374,25.95775604248047,0
000141,25.87487030029297,0
000228,25.772716522216797,0
000242,25.770652770996094,0
000516,25.704776763916016,0
000064,25.6910457611084,0
000061,25.652875900268555,0
000645,25.62749671936035,0
000345,25.609508514404297,0
000073,-22.865428924560547,1
000590,-22.935989379882812,1
000020,-23.17129898071289,1
000555,-23.410146713256836,1
000299,-23.51028823852539,1
000591,-23.57544708251953,1
000296,-23.670984268188477,1
000040,-23.85799789428711,1
000367,-24.01903533935547,1
000630,-24.192615509033203,1
000566,-24.23943328857422,1
000633,-24.261341094970703,1
000014,-24.401857376098633,1
000543,-24.778974533081055,1
000582,-24.786151885986328,1
000018,-24.804840087890625,1
000501,-24.835933685302734,1
000019,-24.853811264038086,1
000027,-24.899791717529297,1
000405,-25.140911102294922,1
000291,-25.225421905517578,1
000537,-25.288930892944336,1
000487,-25.34746551513672,1
000030,-25.627731323242188,1
000598,-25.630691528320312,1
000011,-25.757171630859375,1
000493,-25.81062126159668,1
000015,-25.947961807250977,1
000162,-26.033645629882812,1
000066,-26.103363037109375,1
000039,-26.304119110107422,1
000022,-26.350744247436523,1
000026,-26.436321258544922,1
000481,-26.946136474609375,1
000410,-26.95297622680664,1
000261,-27.134647369384766,1
000557,-27.215076446533203,1
000290,-27.30419158935547,1
000407,-27.432796478271484,1
000006,-27.546716690063477,1
000594,-27.69961929321289,1
000552,-27.784671783447266,1
000386,-28.01611328125,1
000169,-28.023136138916016,1
000072,-28.289159774780273,1
000440,-28.338943481445312,1
000477,-28.638500213623047,1
000648,-28.917369842529297,1
000292,-29.029712677001953,1
000596,-32.160274505615234,1
